◇ injected env (2) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
[2026-07-21 17:19:48] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ma_2 | Pts: -2 | Debt: 0 | ID: 0.8429508344067972 | Cancelled: false
[2026-07-21 18:09:15] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: adj_points | Pts: -5 | Debt: 0 | ID: 0.7625659798362212 | Cancelled: false
[2026-07-21 18:09:53] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: re_7 | Pts: 0 | Debt: 10 | ID: 0.4123215844728738 | Cancelled: false
[2026-07-21 18:12:09] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_1 | Pts: 1 | Debt: 0 | ID: 0.9266019761194149 | Cancelled: false
[2026-07-21 21:32:07] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: rec_5 | Pts: -1 | Debt: 0 | ID: 0.3023982823169855 | Cancelled: false
[2026-07-21 21:32:14] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: ma_2 | Pts: -2 | Debt: 0 | ID: 0.8976557817432816 | Cancelled: false
[2026-07-21 21:32:34] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gn_1 | Pts: -1 | Debt: 0 | ID: 0.09669193146336008 | Cancelled: true
[2026-07-21 21:32:36] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gn_2 | Pts: -1 | Debt: 0 | ID: 0.11905524799527867 | Cancelled: false
[2026-07-21 21:33:37] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gn_3 | Pts: -1 | Debt: 0 | ID: 0.31102486213776936 | Cancelled: false
[2026-07-21 21:44:03] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_1 | Pts: 1 | Debt: 0 | ID: 0.5409430084697608 | Cancelled: false
[2026-07-21 23:59:59] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: mandatory_penalty | Pts: 3 | Debt: 0 | ID: 0.4680867690058593 | Cancelled: false
[2026-07-21 23:59:59] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: mandatory_penalty | Pts: 3 | Debt: 0 | ID: 0.04204157620397331 | Cancelled: false
[2026-07-21 23:59:59] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: daily_debt_settlement | Pts: 0 | Debt: 5 | ID: 0.2991653776782388 | Cancelled: false
[2026-07-22 00:00:00] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: late_fee | Pts: 0 | Debt: 5 | ID: 0.5504569984657801 | Cancelled: true
[2026-07-22 04:58:54] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gm_1 | Pts: 5 | Debt: 0 | ID: 0.7125016895930545 | Cancelled: false
[2026-07-22 09:30:23] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: gm_1 | Pts: 25 | Debt: 0 | ID: 0.4220781215476055 | Cancelled: false
[2026-07-22 11:46:06] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: od_2 | Pts: 3 | Debt: 0 | ID: 0.22603122006465737 | Cancelled: false
